CAS,LogP,smiles_string
000050-00-0,0.35,O=C
000050-02-2,1.83,C1(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1
000050-03-3,2.19,C1C(=O)C=C2CCC3C4CCC(O)(C(=O)COC(=O)C)C4(C)CC(O)C3C2(C)C1
000050-04-4,2.10,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C
000050-06-6,1.47,CCC1(C(=O)NC(=O)NC1(=O))c2ccccc2
000050-07-7,-0.40,O=C1C(N)=C(C)C(=O)C2=C1C(COC(=O)N)C3(OC)C(N4)C4CN23
000050-11-3,1.15,CCC1(CC)C(=O)NC(=O)N(C)C1=O
000050-12-4,1.69,CCC1(NC(=O)N(C)C1=O)c2ccccc2
000050-18-0,0.63,C1CCNP(=O)(N(CCCl)CCCl)O1
000050-21-5,-0.72,O=C(O)C(O)C
000050-22-6,1.94,CC34CC(O)C1C(CCC2=CC(=O)CCC12C)C3CCC4C(=O)CO
000050-23-7,1.61,O=C(C(O)(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3O)C2)C4)(C3)C)C4)CO
000050-24-8,1.62,C1C2=CC(=O)C=CC2(C)C3C(O)CC4(C)C(O)(C(=O)CO)CCC4C3C1
000050-27-1,2.45,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O
000050-28-2,4.01,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4O
000050-29-3,6.91,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl
000050-30-6,2.23,OC(=O)c1c(Cl)cccc1Cl
000050-32-8,6.13,c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14
000050-33-9,3.16,O=C(N(N(C1(=O))c(cccc2)c2)c(cccc3)c3)C1CCCC
000050-35-1,0.33,c1ccc2C(=O)N(C3C(=O)NC(=O)CC3)C(=O)c2c1
000050-36-2,2.30,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3
000050-37-3,2.95,CCN(CC)C(=O)C2CN(C)C1Cc3cnc4cccc(C1=C2)c34
000050-44-2,0.01,n1cnc2ncnc2c1S
000050-47-5,4.90,CNCCCN2c1ccccc1CCc3ccccc23
000050-48-6,4.92,CN(C)CCC=C2c1ccccc1CCc3ccccc23
000050-49-7,4.80,CN(C)CCCN2c1ccccc1CCc3ccccc23
000050-52-2,5.90,CSc4ccc3Sc1ccccc1N(CCC2CCCCN2C)c3c4
000050-53-3,5.41,CN(C)CCCN2c1ccccc1Sc3ccc(Cl)cc23
000050-59-9,-1.62,[O-]C(=O)C2=C(CSC3C(NC(=O)Cc1cccs1)C(=O)N23)C[n+]4ccccc4
000050-67-9,0.21,NCCc1cnc2ccc(O)cc12
000050-69-1,-2.32,OCC1OC(O)C(O)C1O
000050-70-4,-2.20,OCC(O)C(O)C(O)C(O)CO
000050-71-5,-1.84,O=C(NC(=O)C(=O)C1(=O))N1
000050-78-2,1.19,O=C(Oc(c(ccc1)C(=O)O)c1)C
000050-79-3,2.82,OC(=O)c1c(Cl)ccc(Cl)c1
000050-81-7,-1.85,O1C(=O)C(O)=C(O)C1C(O)CO
000050-85-1,2.99,Cc1ccc(C(=O)(O))c(O)c1
000050-86-2,1.62,c1c(O)c(C(=O)O)ccc1NC(=O)C
000050-89-5,-0.93,O=C(N(C=C(C1(=O))C)C(OC(C2O)CO)C2)N1
000050-91-9,-1.16,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O
000050-98-6,-2.45,c1ccccc1C(O)C(C)[N+]([H])C.[Cl-]
000050-99-7,-3.24,OCC1C(O)C(O)C(O)C(O)O1
000051-03-6,4.75,O(c(c(O1)cc(c2CCC)COCCOCCOCCCC)c2)C1
000051-06-9,0.88,CCN(CC)CCNC(=O)c1ccc(N)cc1
000051-12-7,0.87,O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2
000051-17-2,1.32,n(c(c(n1)ccc2)c2)c1
000051-20-7,-0.21,N1C(=O)NC(=O)C(Br)=C1
000051-21-8,-0.89,N1C(=O)NC(=O)C(F)=C1
000051-28-5,1.67,N(=O)(=O)c(ccc(O)c1N(=O)(=O))c1
000051-30-9,-2.69,c1cc(O)c(O)cc1C(O)C[N+](H)(H)C(C)C.[Cl-]
000051-34-3,0.98,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4
000051-35-4,-3.17,O=C(O)C(NCC1O)C1
000051-36-5,3.00,OC(=O)c1cc(Cl)cc(Cl)c1
000051-41-2,-1.24,c1cc(O)c(O)cc1C(O)CN
000051-43-4,-1.20,OC(c(ccc(O)c1O)c1)CNC
000051-44-5,3.25,OC(=O)c1cc(Cl)c(Cl)cc1
000051-45-6,-0.70,C1=NC=C(CCN)N1
000051-55-8,1.83,O=C(OC(CC(N(C1C2)C)C2)C1)C(c(cccc3)c3)CO
000051-61-6,-0.98,NCCc1ccc(O)c(O)c1
000051-64-9,1.76,NC(C)Cc(cccc1)c1
000051-66-1,1.03,O=C(Nc(ccc(OC)c1)c1)C
000051-75-2,0.91,CN(CCCl)CCCl
000051-79-6,-0.15,O=C(OCC)N
000051-93-4,-3.14,CC[N+](C)(C)(C).[I-]
000052-01-7,2.78,O=C(OC(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2SC(=O)C)C4)(C3)C)(C4)C5)C5
000052-21-1,2.40,O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C)C4(C)CC(O)C3C2(C)C=C1
000052-24-4,0.53,S=P(N1CC1)(N2CC2)N3CC3
000052-28-8,-1.40,CN4(OP(=O)(O)O)(H)CCC23C1=C5C=CC(OC)=C1OC2C(O)C=CC3C4C5
000052-31-3,1.77,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
000052-39-1,1.08,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1
000052-43-7,1.15,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
000052-44-8,0.91,C1(=O)NC(=O)C2(CCCCC2)C(=O)N1
000052-45-9,1.78,N1C(=S)NC(=O)C2(C1=O)CCCCC2
000052-52-8,-2.28,O=C(O)C(N)(CCC1)C1
000052-53-9,3.79,COc2ccc(CCN(C)CCCC(C#N)(C(C)C)c1ccc(OC)c(OC)c1)cc2OC
000052-67-5,-1.78,CC(C)(S)C(N)C(O)=O
000052-68-6,0.51,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
000052-85-7,2.23,O=S(=O)(N(C)C)c(ccc(OP(OC)(OC)=S)c1)c1
000052-86-8,4.30,OC2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)c3ccc(Cl)cc3
000052-88-0,-2.22,c1ccccc1C(CO)C(=O)OC2CC(N3(ON(=O)=O)(C)C)CCC3C2
000052-90-4,-2.49,O=C(O)C(N)CS
000053-03-2,1.46,C1(=O)C=C2CCC3C4CCC(O)(C(=O)CO)C4(C)CC(=O)C3C2(C)C=C1
000053-06-5,1.47,CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34
000053-16-7,3.13,O=C(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4
000053-41-8,3.69,C1C(O)CC2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
000053-43-0,3.23,C1C(O)CC2=CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
000053-60-1,2.94,C[N+](C)(H)CCCN2c1ccccc1Sc3ccccc23.[Cl-]
000053-70-3,6.75,c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3
000053-79-2,0.03,c1nc2c(N(C)C)ncnc2n1C3OC(CO)C(NC(=O)C(N)Cc4ccc(OC)cc4)C3O
000053-86-1,4.27,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
000054-04-6,0.78,NCCc1cc(OC)c(OC)c(OC)c1
000054-05-7,4.63,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
000054-11-5,1.17,n(cccc1C(N(CC2)C)C2)c1
000054-12-6,-1.05,O=C(O)C(N)CC(c(c(N1)ccc2)c2)=C1
000054-20-6,0.04,N1C(=O)NC(=O)C(C(F)(F)F)=C1
000054-21-7,-1.43,Oc1ccccc1C(=O)[O-].[Na+]
000054-25-1,-2.14,OCC1OC(C(O)C1O)N2N=CC(=O)NC2=O
000054-31-9,2.03,NS(=O)(=O)c2cc(C(=O)(O))c(NCc1ccco1)cc2Cl
000054-32-0,3.17,c1c(C)c(OC(=O)C)cc(C(C)C)c1OCCN(C)C
000054-42-2,-0.96,O=C(N(C=C(C1=O)I)C(OC(C2O)CO)C2)N1
000054-49-9,-0.27,CC(N)C(O)c1cccc(O)c1
000054-80-8,3.00,c1cc2ccccc2cc1C(O)CNC(C)C
000054-85-3,-0.70,NNC(=O)c1ccncc1
000054-91-1,0.42,BrCCC(=O)N1CCN(C(=O)CCBr)CC1
000054-92-2,0.37,c1cnccc1C(=O)NNC(C)C
000054-95-5,0.14,n(nnn1CCCCC2)c12
000055-18-5,0.48,O=NN(CC)CC
000055-21-0,0.64,O=C(N)c(cccc1)c1
000055-22-1,0.32,O=C(O)c(ccnc1)c1
000055-38-9,4.09,COP(=S)(OC)Oc1ccc(SC)c(C)c1
000055-56-1,0.08,N=C(NCCCCCCNC(=N)NC(=N)Nc(ccc(c1)Cl)c1)NC(=N)Nc(ccc(c2)Cl)c2
000055-63-0,1.62,O(N(=O)=O)CC(O(N(=O)=O))CO(N(=O)=O)
000055-91-4,1.17,O=P(F)(OC(C)C)OC(C)C
000055-98-1,-0.52,CS(=O)(=O)OCCCCOS(C)(=O)=O
000056-12-2,-3.17,O=C(O)CCCN
000056-23-5,2.83,C(Cl)(Cl)(Cl)Cl
000056-29-1,1.98,CN2C(=O)NC(=O)C(C)(C1=CCCCC1)C2=O
000056-34-8,-3.15,CCN(CC)(CC)(CC)Cl
000056-38-2,3.83,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
000056-40-6,-3.21,O=C(O)CN
000056-41-7,-2.85,O=C(O)C(N)C
000056-45-1,-3.07,O=C(O)C(N)CO
000056-47-3,3.08,C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1
000056-49-5,6.42,c(c(ccc1C)cc(c2ccc3cccc4)c34)(c1CC5)c25
000056-53-1,5.07,Oc(ccc(C(=C(c(ccc(O)c1)c1)CC)CC)c2)c2
000056-54-2,3.44,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C
000056-55-3,5.76,c(c(c(c(c1)ccc2)c2)cc(c3ccc4)c4)(c1)c3
000056-57-5,1.09,O=N(=O)c1ccn(=O)c2ccccc12
000056-72-4,4.13,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1
000056-75-7,1.14,O=C(NC(C(O)c(ccc(N(=O)(=O))c1)c1)CO)C(Cl)Cl
000056-81-5,-1.76,OCC(O)CO
000056-84-8,-3.89,O=C(O)C(N)CC(=O)O
000056-85-9,-3.15,O=C(O)C(N)CCC(=O)N
000056-86-0,-3.69,O=C(O)C(N)CCC(=O)O
000056-87-1,-3.05,O=C(O)C(N)CCCCN
000056-89-3,-5.08,O=C(O)C(N)CSSCC(N)C(=O)O
000056-91-7,1.03,OC(=O)c1ccc(CN)cc1
000056-93-9,-2.17,c1(C[N+](C)(C)C)ccccc1.[Cl-]
000057-10-3,7.17,O=C(O)CCCCCCCCCCCCCCC
000057-11-4,8.23,O=C(O)CCCCCCCCCCCCCCCCC
000057-13-6,-2.11,O=C(N)N
000057-14-7,-0.40,N(N)(C)C
000057-15-8,2.03,OC(C(Cl)(Cl)Cl)(C)C
000057-22-7,2.82,c46c(c9c(n6)cccc9)CCN7CC(CC(C7)(CC)O)CC4(c5cc8c(cc5OC)N(C=O)C1C82C3C(C(=CCN3CC2)CC)C(C1(C(=O)OC)O)OC(=O)C)C(=O)OC
000057-24-9,1.93,O=C(N(c(c(C1(C(N(C2)CC(C3C4C5OC6)=C6)C3)C2)ccc7)c7)C14)C5
000057-27-2,0.89,C1=CC2C(N(C)C5)Cc3ccc(O)c4c3C2(C5)C(O4)C1O
000057-41-0,2.47,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
000057-42-1,2.72,CCOC(=O)C1(CCN(C)CC1)c2ccccc2
000057-43-2,2.07,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
000057-44-3,0.65,CCC1(CC)C(=O)NC(=O)NC1(=O)
000057-47-6,1.58,O=C(Oc(ccc(N(C(N(CC1)C)C12C)C)c23)c3)NC
000057-50-1,-3.70,O(C(C(O)C(O)C1O)CO)C1OC(OC(C2O)CO)(C2O)CO
000057-53-4,0.70,O=C(OCC(CCC)(C)COC(=O)N)N
000057-55-6,-0.92,OCC(O)C
000057-62-5,-0.62,O=C(N)C(=C(O)C(N(C)C)C(C1(O)C(O)=C(C2C(O)(c(c3c(O)cc4)c4Cl)C)C3=O)C2)C1=O
000057-63-6,3.67,OC(C#C)(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4
000057-66-9,3.21,O=C(O)c(ccc(S(=O)(=O)N(CCC)CCC)c1)c1
000057-67-0,-1.22,c1cc(N)ccc1S(=O)(=O)NC(=N)N
000057-68-1,0.19,O=S(=O)(Nc(nc(cc1C)C)n1)c(ccc(N)c2)c2
000057-74-9,6.16,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
000057-83-0,3.87,O=C(C(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2)C4)(C3)C)C4)C
000057-96-5,2.30,O=C2C(CCS(=O)c1ccccc1)C(=O)N(N2c3ccccc3)c4ccccc4
000057-97-6,5.80,c(c(c(c(c1)ccc2)c2)c(c(c3ccc4)c4)C)(c3C)c1
000058-00-4,2.30,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34
000058-08-2,-0.07,CN1C(=O)N(C)c2ncn(C)c2C1(=O)
000058-14-0,2.69,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
000058-15-1,1.00,c1ccccc1N2C(=O)C(N(C)C)=C(C)N2C
000058-18-4,3.36,O=C(C=C(C(C(C(C(C(C(O)(C)C1)(C2)C)C1)C3)C2)(C4)C)C3)C4
000058-19-5,3.99,CC1C(=O)CC2CCC3C4CCC(O)C4(C)CCC3C2(C)C1
000058-22-0,3.32,C1C(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C2(C)C1
000058-25-3,2.44,CNC2=Nc1ccc(Cl)cc1C(=N(=O)C2)c3ccccc3
000058-27-5,2.20,c1cc2C(=O)C=C(C)C(=O)c2cc1
000058-37-7,4.76,c1ccc2Sc3ccccc3N(CC(N(C)C)CN(C)C)c2c1
000058-38-8,4.88,CN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4
000058-39-9,4.20,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4
000058-40-2,4.55,c1ccc2Sc3ccccc3N(CCCN(C)C)c2c1
000058-55-9,-0.02,CN1C(=O)N(C)c2ncnc2C1(=O)
000058-61-7,-1.05,n1cnc2n(C3OC(CO)C(O)C3(O))cnc2c1N
000058-63-9,-2.10,OCC1OC(C(O)C1O)n2cnc3C(=O)NC=Nc23
000058-71-9,-2.20,s1cccc1CC(=O)NC2C(=O)N3C(C(=O)[O-])=C(COC(=O)C)CSC23.[Na+]
000058-73-1,3.27,O(C(c(cccc1)c1)c(cccc2)c2)CCN(C)C
000058-74-2,2.95,COc3ccc(Cc1nccc2cc(OC)c(OC)cc12)cc3OC
000058-89-9,3.72,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
000058-90-2,4.45,Oc(c(cc(c1Cl)Cl)Cl)c1Cl
000058-93-5,-0.07,O=S(=O)(N)c(c(cc(NCNS1(=O)=O)c12)Cl)c2
000058-94-6,-0.24,NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1
000058-96-8,-1.98,O=C(N(C=CC1(=O))C(OC(C2O)CO)C2O)N1
000059-05-2,-1.85,O=C(NC(C(=O)O)CCC(=O)O)c(ccc(N(Cc(nc(c(nc(n1)N)n2)c1N)c2)C)c3)c3
000059-07-4,0.99,OC(=O)c1c(OCC)cc(N)cc1
000059-14-3,-0.29,C1=C(Br)C(=O)NC(=O)N1C2OC(CO)C(O)C2
000059-26-7,0.33,CCN(CC)C(=O)c1cccnc1
000059-31-4,1.26,c1ccc2C=CC(=O)Nc2c1
000059-40-5,1.68,O=S(=O)(Nc(nc(c(n1)ccc2)c2)c1)c(ccc(N)c3)c3
000059-42-7,-0.31,CNCC(O)c1cccc(O)c1
000059-46-1,2.14,O=C(OCCN(CC)CC)c(ccc(N)c1)c1
000059-47-2,1.41,Cc1ccccc1OCC(O)CO
000059-48-3,1.16,c1ccc2CC(=O)Nc2c1
000059-49-4,1.16,O=C(Oc(c1ccc2)c2)N1
000059-50-7,3.10,Oc(ccc(c1C)Cl)c1
000059-61-0,3.32,c1c(Cl)c(Cl)ccc1C(O)CNC(C)C
000059-63-2,1.49,n1oc(C)cc1C(=O)NNCc2ccccc2
000059-66-5,-0.26,CC(=O)Nc1nnc(S(=O)(=O)N)s1
000059-67-6,0.36,O=C(O)c(cccn1)c1
000059-87-0,0.23,O=C(N)NN=CC(OC(N(=O)=O)=C1)=C1
000059-89-2,-0.44,O=NN1CCOCC1
